complaint_id,txn_id,user_id,merchant_id,complaint_text,disputed_amount_clean,transaction_timestamp_clean,reported_timestamp_clean,bank_response_timestamp_clean,resolution_status_clean,severity_clean,reason_code_clean,channel_clean,report_delay_days,txn_fk_valid,user_fk_valid,merchant_fk_valid,txn_amount,merchant_category_final,txn_status,disputed_amount_imputed
CBK0002082,TXN00004325,USR97580,MCH1127,Customer says amount was debited twice.,20243.78,2026-01-28 00:00:00,2026-02-01 00:00:00,2026-02-10 03:19:10,CLOSED,CRITICAL,Service Not Delivered,IVR,4.0,True,True,False,20243.78,Telecom,SUCCESS,True
CBK0001941,TXN00003720,USR54113,MCH3835,User reports money deducted but merchant denies receiving payment.,414.69,2026-02-25 10:24:00,2026-03-05 06:24:15,2026-03-12 06:24:00,IN_PROGRESS,HIGH,Account Takeover,Call Center,7.0,True,False,True,6533.6,Grocery,SUCCESS,False
CBK0001799,TXN00012539,USR17980,MCH3700,merchant service was not delivered after payment.,7039.0,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-03-06 00:00:00,OPEN,LOW,Customer Dispute,IVR,1.0,True,False,True,6388.23,Transportation,PENDING,False
CBK0002465,TXN00017802,USR76148,MCH4534,Suspicious high-value payment disputed by customer. pls check asap,1303.05,2026-03-30 00:00:00,2026-04-01 00:00:00,2026-04-07 00:00:00,REJECTED,HIGH,Service Not Delivered,IVR,2.0,True,False,True,23586.25,,SUCCESS,False
CBK0001870,TXN00015944,USR24660,MCH1686,Merchant service was not delivered after payment.,1459.42,2026-01-09 00:00:00,2026-01-14 21:01:41,2026-01-26 00:00:00,IN_PROGRESS,LOW,Service Not Delivered,App,5.0,True,False,True,3561.25,Hotel / Lodging,SUCCESS,False
CBK0002663,TXN00009741,USR40631,MCH9584,Complaint received after multiple failed attempts. urgent,548.0,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-23 00:00:00,CLOSED,LOW,Service Not Delivered,Branch,1.0,True,False,True,243.53,Grocery,SUCCESS,False
CBK0000782,TXN00015086,USR58789,MCH6008,User says UPI PIN was not entered by them.,1949.6,2026-02-05 00:00:00,2026-02-10 00:00:00,2026-03-03 00:00:00,IN_PROGRESS,MEDIUM,Wrong Amount,Chatbot,5.0,True,True,False,2512.58,Transportation,SUCCESS,False
CBK0001838,TXN00014426,USR30157,MCH4526,Merchant service was not delivered after payment. details missing,4193.52,2026-03-26 10:17:08,2026-04-06 04:17:08,2026-04-18 00:00:00,OPEN,MEDIUM,Service Not Delivered,Chatbot,10.0,True,False,True,19236.78,Apparel,SUCCESS,False
CBK0001095,TXN00015316,USR86750,MCH5980,Customer complaint text unclear due to poor call center notes.,930.83,2026-01-12 00:00:00,2026-01-13 00:00:00,2026-01-14 00:00:00,OPEN,HIGH,Customer Dispute,Branch,1.0,True,False,True,20956.02,Transportation,SUCCESS,False
CBK0002541,TXN00002822,USR11987,MCH3992,User claims account was compromised before transaction.,5724.63,2026-03-18 10:04:06,2026-03-23 00:00:00,2026-03-30 00:00:00,OPEN,HIGH,Unauthorized Transaction,IVR,4.0,True,True,False,5724.63,,SUCCESS,True
CBK0001147,TXN00002456,USR89588,MCH2614,customer says amount was debited twice.,1805.23,2026-02-10 03:16:00,2026-02-12 00:00:00,2026-03-12 14:16:00,IN_PROGRESS,LOW,Duplicate Debit,Chatbot,1.0,True,False,False,3488.53,Medical / Pharmacy,SUCCESS,False
CBK0001137,TXN00015627,USR35882,MCH8913,Customer says amount was debited twice.,4853.7,2026-01-21 01:07:00,2026-01-21 00:00:00,2026-02-06 08:07:54,RESOLVED,MEDIUM,Customer Dispute,Chatbot,,True,False,False,15222.17,Telecom,SUCCESS,False
CBK0002213,TXN00009870,USR79046,MCH8457,Merchant service was not delivered after payment.,12334.0,2026-01-02 00:00:00,2026-02-17 00:00:00,,IN_PROGRESS,MEDIUM,Service Not Delivered,IVR,46.0,True,True,False,4372.85,Grocery,SUCCESS,False
CBK0000946,TXN00013141,USR22644,MCH9193,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,7638.7,2026-01-26 00:00:00,2026-01-31 14:01:41,,IN_PROGRESS,CRITICAL,Suspected Fraud,Email,5.0,True,True,True,23826.63,Restaurant,SUCCESS,False
CBK0002366,TXN00012165,USR98915,MCH6399,Customer says transaction was not authorized.,8602.12,2026-02-20 00:00:00,2026-02-20 00:00:00,2026-02-23 21:48:00,IN_PROGRESS,LOW,Suspected Fraud,Call Center,0.0,True,False,False,8602.12,Grocery,PENDING,True
CBK0002026,TXN00019737,USR27262,MCH4852,Merchant service was not delivered after payment.,174.11,2026-01-13 00:00:00,2026-01-23 00:00:00,2026-02-11 19:25:13,RESOLVED,MEDIUM,Duplicate Debit,IVR,10.0,True,True,False,13217.59,Grocery,SUCCESS,False
CBK0001099,TXN00011289,USR94570,MCH4545,Payment made to unknown merchant as per customer statement.,305.0,2026-01-30 04:49:00,2026-02-04 00:00:00,2026-02-28 00:00:00,CLOSED,CRITICAL,Account Takeover,IVR,4.0,True,False,False,11014.39,Misc Retail,SUCCESS,False
CBK0001197,TXN00006253,USR19220,MCH7286,Complaint received after multiple failed attempts.,4952.0,2026-01-08 00:00:00,2026-01-10 00:00:00,2026-01-20 14:43:26,REJECTED,MEDIUM,Customer Dispute,Chatbot,2.0,True,False,False,8443.55,Medical / Pharmacy,PENDING,False
CBK0002347,TXN00010961,USR55439,MCH7581,Customer says transaction was not authorized.,1126.18,2026-02-13 00:00:00,2026-03-15 00:00:00,,REJECTED,LOW,Wrong Amount,Branch,30.0,True,True,True,7883.25,Transportation,FAILED,False
CBK0000289,TXN00005764,USR38028,MCH6758,User claims account was compromised before transaction.,513.84,2026-03-12 23:03:00,,,REJECTED,MEDIUM,Suspected Fraud,Chatbot,,True,True,True,4377.78,Transportation,SUCCESS,False
CBK0002002,TXN00010298,USR97772,MCH5269,Merchant service was not delivered after payment. urgent,534.44,2026-01-03 00:00:00,2026-01-08 00:00:00,2026-02-03 23:32:04,IN_PROGRESS,CRITICAL,Service Not Delivered,Chatbot,5.0,True,True,True,8983.18,Telecom,SUCCESS,False
CBK0000512,TXN00014054,USR27947,MCH7667,Customer says amount was debited twice.,4010.97,2026-01-21 00:00:00,2026-01-26 00:00:00,2026-01-30 00:00:00,CLOSED,LOW,Unauthorized Transaction,Chatbot,5.0,True,True,True,14721.41,Restaurant,PENDING,False
CBK0001155,TXN00010146,USR94690,MCH3957,Payment made to unknown merchant as per customer statement.,2637.93,2026-02-09 19:16:42,,2026-02-23 06:16:42,IN_PROGRESS,MEDIUM,Unauthorized Transaction,IVR,,True,True,False,19497.67,Hotel / Lodging,SUCCESS,False
CBK0001330,TXN00005940,USR67471,MCH8738,Suspicious high-value payment disputed by customer.,1360.01,2026-03-14 00:34:00,2026-03-15 12:34:00,2026-03-27 00:00:00,PENDING_BANK,MEDIUM,Duplicate Debit,Chatbot,1.0,True,False,False,7039.3,Hotel / Lodging,SUCCESS,False
CBK0000259,TXN00017504,USR24872,MCH9291,merchant service was not delivered after payment.,12647.35,2026-01-22 00:00:00,2026-01-30 09:27:00,2026-02-13 00:00:00,IN_PROGRESS,LOW,Unauthorized Transaction,Chatbot,8.0,True,True,True,1927.72,Medical / Pharmacy,SUCCESS,False
CBK0000164,TXN00010786,USR79443,MCH3729,Payment made to unknown merchant as per customer statement.,2135.0,2026-01-08 02:00:24,2026-01-18 00:00:00,2026-01-23 04:00:24,CLOSED,MEDIUM,Duplicate Debit,IVR,9.0,True,False,False,2135.0,Misc Retail,SUCCESS,True
CBK0000681,TXN00006290,USR89588,MCH9105,Merchant service was not delivered after payment.,11310.86,2026-01-28 00:00:00,2026-02-02 00:00:00,2026-02-28 00:00:00,REJECTED,LOW,Wrong Amount,IVR,5.0,True,False,False,11310.86,Grocery,SUCCESS,True
CBK0002683,TXN00004094,USR73891,MCH8154,suspicious high-value payment disputed by customer.,2519.45,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-21 00:00:00,IN_PROGRESS,HIGH,Wrong Amount,IVR,,True,False,True,23222.2,Grocery,SUCCESS,False
CBK0002792,TXN00005061,USR22154,MCH9022,Customer says amount was debited twice.,1535.65,2026-02-28 13:16:03,2026-03-02 00:00:00,2026-03-30 00:00:00,REJECTED,HIGH,Account Takeover,Chatbot,1.0,True,True,True,23322.36,Grocery,SUCCESS,False
CBK0000594,TXN00065742,USR32980,MCH7020,suspicious high-value payment disputed by customer.,470.0,2026-02-19 00:00:00,,2026-02-24 00:00:00,CLOSED,MEDIUM,Service Not Delivered,Email,,False,False,True,,,,False
CBK0001247,TXN00003165,USR41524,MCH2342,Suspicious high-value payment disputed by customer.,2714.54,2026-01-04 00:00:00,2026-01-09 00:00:00,2026-02-03 00:00:00,RESOLVED,MEDIUM,Suspected Fraud,Call Center,5.0,True,False,False,1414.0,Medical / Pharmacy,SUCCESS,False
CBK0000566,TXN00000086,USR11727,MCH4948,User says UPI PIN was not entered by them.,411.83,2026-02-23 00:00:00,2026-02-24 02:13:00,2026-03-15 00:00:00,REJECTED,HIGH,Unauthorized Transaction,Chatbot,1.0,True,False,True,8136.33,Apparel,SUCCESS,False
CBK0002764,TXN00014418,USR71468,MCH6403,customer complaint text unclear due to poor call center notes.,1393.43,2026-03-03 00:00:00,2026-03-05 00:00:00,,PENDING_BANK,MEDIUM,Service Not Delivered,Email,2.0,True,True,True,15525.65,Grocery,SUCCESS,False
CBK0000023,TXN00001464,USR92751,MCH2757,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,1112.83,2026-03-14 00:00:00,2026-04-13 00:00:00,2026-04-16 00:00:00,RESOLVED,MEDIUM,Service Not Delivered,IVR,30.0,True,False,True,16449.55,Grocery,SUCCESS,False
CBK0000361,TXN00012527,USR24926,MCH7438,User claims account was compromised before transaction.,2311.0,2026-02-14 00:00:00,2026-02-16 18:13:57,,CLOSED,LOW,Duplicate Debit,IVR,2.0,True,True,False,326.32,Apparel,SUCCESS,False
CBK0002544,TXN00018727,USR27888,MCH5076,merchant service was not delivered after payment.,10161.06,2026-03-20 01:26:11,2026-03-25 00:00:00,2026-04-24 20:26:11,OPEN,HIGH,Service Not Delivered,Chatbot,4.0,True,False,False,775.3,Hotel / Lodging,SUCCESS,False
CBK0000430,TXN00018881,USR47299,MCH3382,Merchant service was not delivered after payment. urgent,2108.9,2026-02-11 03:20:31,2026-02-26 00:00:00,2026-03-23 06:20:31,IN_PROGRESS,HIGH,Suspected Fraud,IVR,14.0,True,True,True,137.0,Grocery,SUCCESS,False
CBK0001264,TXN00008143,USR92737,MCH4183,Merchant service was not delivered after payment.,240.64,2026-03-22 17:21:29,2026-03-25 22:21:00,,OPEN,LOW,Unauthorized Transaction,IVR,3.0,True,True,False,16124.95,Restaurant,SUCCESS,False
CBK0001919,TXN00005826,USR72795,MCH2259,Merchant service was not delivered after payment.,1770.58,2026-01-31 00:00:00,2026-02-04 14:03:00,2026-02-08 00:00:00,REJECTED,CRITICAL,Account Takeover,IVR,4.0,True,True,False,9036.79,Hotel / Lodging,SUCCESS,False
CBK0000069,TXN00002744,USR21384,MCH4252,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,840.07,2026-01-15 01:24:40,,2026-02-11 00:00:00,IN_PROGRESS,CRITICAL,Service Not Delivered,Email,,True,False,False,3528.67,Transportation,SUCCESS,False
CBK0001760,TXN00017025,USR79110,MCH1320,user says upi pin was not entered by them.,19735.18,,2026-03-24 23:17:18,,RESOLVED,LOW,Suspected Fraud,IVR,,True,False,True,19735.18,Hotel / Lodging,SUCCESS,True
CBK0002232,TXN00009269,USR99886,MCH1941,Payment made to unknown merchant as per customer statement.,385.53,2026-01-26 19:24:45,2026-01-29 17:24:45,,CLOSED,MEDIUM,Service Not Delivered,Chatbot,2.0,True,True,True,3658.96,Grocery,SUCCESS,False
CBK0002798,TXN00066039,USR24087,MCH6965,User reports money deducted but merchant denies receiving payment.,1372.0,2026-01-14 00:00:00,2026-01-22 06:27:51,2026-02-09 00:00:00,RESOLVED,LOW,Service Not Delivered,Chatbot,8.0,False,False,True,,,,False
CBK0000080,TXN00007630,USR70905,MCH7833,user claims account was compromised before transaction.,963.14,2026-01-11 19:35:00,2026-01-12 06:35:00,2026-01-24 00:00:00,IN_PROGRESS,LOW,Duplicate Debit,Branch,0.0,True,False,True,18769.22,Grocery,SUCCESS,False
CBK0000789,TXN00006632,USR56899,MCH7296,Merchant service was not delivered after payment.,4124.85,2026-03-28 00:00:00,2026-04-03 00:00:00,,IN_PROGRESS,LOW,Suspected Fraud,Email,6.0,True,False,False,3468.56,,SUCCESS,False
CBK0002564,TXN00013473,USR78994,MCH2383,Customer says amount was debited twice.,2485.28,2026-02-16 02:17:00,2026-02-26 00:00:00,2026-03-04 00:00:00,PENDING_BANK,MEDIUM,Customer Dispute,Chatbot,9.0,True,True,True,6271.11,Misc Retail,PENDING,False
CBK0000359,TXN00014970,USR35935,MCH3100,user reports money deducted but merchant denies receiving payment.,3336.7,,2026-02-20 00:00:00,2026-03-12 18:19:47,IN_PROGRESS,MEDIUM,Account Takeover,Chatbot,,True,False,False,15075.09,Transportation,FAILED,False
CBK0002003,TXN00015085,USR71636,MCH4256,suspicious high-value payment disputed by customer.,956.46,2026-01-16 00:00:00,2026-01-18 06:11:00,2026-02-09 00:00:00,IN_PROGRESS,MEDIUM,Service Not Delivered,App,2.0,True,True,False,6131.03,Transportation,SUCCESS,False
CBK0002463,TXN00014364,USR87498,MCH4089,Customer says amount was debited twice.,2489.04,2026-01-19 00:00:00,2026-01-21 17:18:16,2026-02-11 00:00:00,RESOLVED,LOW,Suspected Fraud,Chatbot,2.0,True,False,True,21416.0,Grocery,SUCCESS,False
CBK0001171,TXN00006955,USR26685,MCH3901,payment made to unknown merchant as per customer statement.,1336.86,,2026-02-16 16:57:27,2026-02-19 00:00:00,OPEN,LOW,Account Takeover,Chatbot,,True,False,False,20486.76,Medical / Pharmacy,SUCCESS,False
CBK0002716,TXN00003119,USR34955,MCH8691,Payment made to unknown merchant as per customer statement.,1198.29,,2026-02-24 21:58:58,,CLOSED,LOW,Suspected Fraud,Email,,True,False,False,6216.92,Medical / Pharmacy,SUCCESS,False
CBK0001839,TXN00004638,USR67862,MCH8953,User reports money deducted but merchant denies receiving payment.,1651.94,2026-02-12 09:49:00,2026-02-12 11:49:00,2026-02-17 00:00:00,IN_PROGRESS,HIGH,Wrong Amount,Email,0.0,True,False,True,16561.22,Medical / Pharmacy,SUCCESS,False
CBK0002314,TXN00014145,USR21162,MCH2383,Complaint received after multiple failed attempts.,3888.0,2026-03-09 00:00:00,2026-03-10 21:03:16,2026-04-07 00:00:00,CLOSED,LOW,Suspected Fraud,IVR,1.0,True,False,True,12788.0,Medical / Pharmacy,SUCCESS,False
CBK0000406,TXN00007974,USR33394,MCH3064,user claims account was compromised before transaction.,4101.89,,2026-03-11 00:00:00,2026-03-20 06:27:39,OPEN,LOW,Wrong Amount,IVR,,True,False,False,22647.18,Hotel / Lodging,FAILED,False
CBK0002718,TXN00013934,USR84084,MCH7370,User claims account was compromised before transaction.,7727.87,2026-02-20 00:00:00,2026-03-22 23:15:17,2026-04-04 00:00:00,OPEN,LOW,Account Takeover,IVR,30.0,True,False,True,24508.25,Hotel / Lodging,SUCCESS,False
