merchant_id,merchant_name,state,mcc_clean,merchant_category_clean,business_type_clean,city_clean,onboarding_date_clean,merchant_status_clean,avg_ticket_was_negative,declared_avg_ticket_size_clean,settlement_account_on_file
MCH2849,"BHAVSAR, KOTA AND ZACHARIA",Punjab,7011,Hotel / Lodging,Private Limited,Ludhiana,2025-09-23 00:00:00,INACTIVE,False,2432.18,False
MCH4314,Deshmukh Ltd,Punjab,5699,Apparel,Private Limited,Jalandhar,,INACTIVE,False,986.05,True
MCH3899,Goswami-Bath,Telangana,4131,Transportation,Sole Proprietor,Hyderabad,2023-01-14 00:00:00,ACTIVE,True,1271.48,False
MCH4859,VASA-RAJU,Telangana,5812,Restaurant,Sole Proprietor,Hyderabad,2025-03-17 02:59:45,ACTIVE,False,214.0,True
MCH6848,Dora LLC,Tamil Nadu,5311,Department Store,Partnership,Chennai,2025-09-20 22:23:18,ACTIVE,False,1272.49,True
MCH9933,Bali-Zachariah,Rajasthan,5411,Grocery,Sole Proprietor,Jaipur,2023-06-07 00:00:00,ACTIVE,False,1549.0,True
MCH2637,Joshi Group,Tamil Nadu,5999,Misc Retail,Partnership,Chennai,2025-02-20 00:00:00,ACTIVE,True,760.41,False
MCH8708,"Mukherjee, Sami and Purohit",Telangana,5999,Misc Retail,Sole Proprietor,Hyderabad,2026-01-28 00:00:00,SUSPENDED,False,2919.92,False
MCH2430,Bora Group,Punjab,4814,Telecom,Individual,Amritsar,2026-01-27 15:52:53,ACTIVE,False,827.43,True
MCH8556,"Rout, Dhillon and Sinha",Rajasthan,5942,Book Store,Sole Proprietor,Jaipur,2023-05-04 17:49:00,ACTIVE,False,,False
MCH9997,"Kalita, Dass and Balay",Punjab,5999,Misc Retail,Individual,Ludhiana,2023-07-12 00:00:00,ACTIVE,False,2233.91,True
MCH6945,Barad LLC,Punjab,5311,Department Store,Partnership,Ludhiana,2025-09-13 06:55:00,ACTIVE,False,3350.77,False
MCH4323,"Ben, Wagle and Shan",Tamil Nadu,5812,Restaurant,Sole Proprietor,Chennai,2023-05-11 05:53:16,SUSPENDED,False,,True
MCH7645,Majumdar-Nagarajan,Punjab,5912,Medical / Pharmacy,Sole Proprietor,Amritsar,2024-09-21 00:00:00,ACTIVE,False,1396.81,True
MCH9815,"NARASIMHAN, VASA AND GOSWAMI",Delhi,5942,Book Store,Individual,Delhi,2025-11-10 04:53:00,ACTIVE,True,528.91,True
MCH2934,Warri0r-Siba1,Punjab,5999,Misc Retail,Individual,Amritsar,2025-04-07 00:00:00,ACTIVE,False,,False
MCH3140,"Zachariah,RajagopalandSamra",Punjab,4814,Telecom,Private Limited,Amritsar,2023-09-04 17:37:45,ACTIVE,False,363.21,False
MCH2833,Kapoor-Shankar,Punjab,7011,Hotel / Lodging,Sole Proprietor,Jalandar,,ACTIVE,False,474.69,True
MCH5089,Korpal-Parmer,Rajasthan,5311,Department Store,Private Limited,Jaipur,2024-06-14 00:00:00,ACTIVE,False,3730.0,False
MCH9951,Natt Group,Tamil Nadu,5912,Medical / Pharmacy,Partnership,Chennai,2024-02-05 00:00:00,ACTIVE,False,1765.37,True
MCH4962,venkataraman-mannan,Tamil Nadu,5942,Book Store,Private Limited,Chennai,2025-07-15 06:02:14,ACTIVE,False,266.61,True
MCH1541,Bhattacharyya-Hans,West Bengal,7011,Hotel / Lodging,Private Limited,Kolkata,2024-03-24 00:00:00,ACTIVE,False,621.01,True
MCH9993,Chadha-Tailor,Punjab,5942,Book Store,Private Limited,Ludhiana,2026-01-05 00:00:00,INACTIVE,False,2368.65,False
MCH8365,Som-Dhar,Maharashtra,5999,Misc Retail,Individual,Pune,2025-08-30 00:00:00,ACTIVE,False,269.48,False
MCH2536,Divan-Radhakrishnan,Maharashtra,4131,Transportation,Private Limited,Poona,2025-07-09 00:00:00,ACTIVE,False,,True
MCH6777,LALL-DATE,Uttar Pradesh,5411,Grocery,Partnership,Lko,2023-12-20 14:05:11,ACTIVE,False,1143.87,True
MCH8152,chaudhari plc,Punjab,5912,Medical / Pharmacy,Sole Proprietor,Jalandhar,2023-07-24 20:56:00,ACTIVE,False,1648.01,False
MCH2665,"Arora, Bir and Mahal",Uttar Pradesh,5311,Department Store,Sole Proprietor,Lko,2024-11-15 20:23:00,INACTIVE,False,2101.74,True
MCH6326,"Barad,MurtyandTella",Tamil Nadu,5942,Book Store,Private Limited,Chennai,2024-06-22 18:08:00,ACTIVE,True,671.62,True
MCH5563,"Dubey, Wali and Yadav",West Bengal,,,Sole Proprietor,Kolkata,2024-01-28 00:00:00,ACTIVE,False,2198.0,True
MCH3063,Bansal Inc,Rajasthan,4131,Transportation,Individual,Jaipur,2025-07-02 00:00:00,INACTIVE,False,282.67,False
MCH7974,"Verma, Koshy and Bhardwaj",Rajasthan,5411,Grocery,Individual,Jaipur,2023-10-04 00:00:00,ACTIVE,False,460.5,True
MCH5575,Sandal LLC,Tamil Nadu,5411,Grocery,Partnership,Chennai,2024-02-13 00:00:00,ACTIVE,False,5255.72,True
MCH7433,"Sahota, Desai and Sarma",Maharashtra,5999,Misc Retail,Individual,Pune,2024-02-24 00:00:00,ACTIVE,False,867.14,False
MCH1331,"Garg, Bobal and Jain",West Bengal,4131,Transportation,Individual,Kolkata,2024-06-29 00:00:00,ACTIVE,False,3720.61,False
MCH1168,Sekhon Inc,Telangana,5411,Grocery,Sole Proprietor,Hyderabad,2025-07-26 21:06:00,ACTIVE,False,6003.0,False
MCH2698,KalaLLC,Uttar Pradesh,7011,Hotel / Lodging,Individual,Lucknow,2023-08-19 00:00:00,INACTIVE,False,3590.19,True
MCH6451,Chandran Group,Punjab,5311,Department Store,Individual,Jalandar,2025-10-07 00:00:00,INACTIVE,False,165.95,True
MCH2255,Lal Ltd,Rajasthan,5311,Department Store,Individual,Jaipur,2023-05-29 00:00:00,ACTIVE,False,1404.67,True
MCH7312,Ramakrishnan-Banerjee,Maharashtra,5311,Department Store,Sole Proprietor,Mumbai,2024-02-24 11:03:00,ACTIVE,False,977.96,True
MCH8549,"Amb1e, Sangha and C0mar",Punjab,4814,Telecom,Individual,Ludhiana,2026-01-12 00:00:00,ACTIVE,False,1130.69,True
MCH9784,lal ltd,Tamil Nadu,5812,Restaurant,Partnership,Chennai,2024-12-28 05:21:00,ACTIVE,False,1442.84,True
MCH5395,"Dada, Jani and Kaul",Tamil Nadu,5942,Book Store,Partnership,Chennai,2025-03-06 00:00:00,ACTIVE,True,698.53,False
MCH6067,Chaw1a-Gangu1y,Maharashtra,,,Sole Proprietor,Mumbai,2025-12-03 00:00:00,INACTIVE,False,700.95,True
MCH4786,EDWIN PLC,Punjab,5699,Apparel,Individual,Ludhiana,2024-12-15 00:00:00,ACTIVE,False,3435.22,True
MCH3559,Chokshi Inc,Karnataka,5812,Restaurant,Private Limited,Bangalore,2024-12-23 00:00:00,SUSPENDED,True,535.7,True
MCH3955,"Swamy, Dhingra and Sheth",Tamil Nadu,5311,Department Store,Individual,Chennai,2024-11-25 00:00:00,SUSPENDED,False,508.0,False
MCH3558,"Bhattacharyya, Mahal and Setty",Rajasthan,4131,Transportation,Partnership,Jaipur,2023-07-28 00:00:00,ACTIVE,False,4448.97,True
MCH6403,"Sahni, Kapur and Ganesh",Tamil Nadu,,,Private Limited,Chennai,2024-05-30 00:00:00,ACTIVE,False,344.49,False
MCH3455,Singhal LLC,Punjab,5311,Department Store,Individual,Jalandar,2026-01-06 05:10:00,ACTIVE,False,11222.95,False
MCH8578,Bhatt LLC,Maharashtra,4131,Transportation,Sole Proprietor,Poona,2023-08-26 23:42:00,INACTIVE,False,2462.04,True
MCH8716,"Naik, Chada and Divan",Punjab,5999,Misc Retail,Private Limited,Ldh,2023-01-11 00:00:00,ACTIVE,False,225.43,True
MCH9697,Walla Ltd,Karnataka,,,Individual,Bangalore,2025-07-21 00:00:00,ACTIVE,False,1081.86,False
MCH1170,"Wali, Bala and Sanghvi",Karnataka,5311,Department Store,Sole Proprietor,Bangalore,2023-04-01 15:30:00,INACTIVE,False,1109.65,False
MCH8705,"Sahota, Kale and Patil",Delhi,4131,Transportation,Private Limited,Delhi,2024-11-10 00:00:00,ACTIVE,False,1127.21,True
MCH5146,Wadhwa-Swamy,Punjab,5311,Department Store,Partnership,Jalandhar,2023-11-05 00:00:00,ACTIVE,False,,False
MCH7239,Tata-Hayer,Tamil Nadu,7011,Hotel / Lodging,Individual,Chennai,2025-06-09 00:00:00,ACTIVE,False,1929.61,True
MCH3953,"Ray, Minhas and Yohannan",West Bengal,5411,Grocery,Sole Proprietor,Kolkata,2023-03-18 00:00:00,ACTIVE,False,8126.93,True
MCH3697,Cherian LLC,Tamil Nadu,7011,Hotel / Lodging,Individual,Chennai,2023-11-04 13:30:00,ACTIVE,False,2525.65,False
MCH6046,"Palla, Yadav and Bhatnagar",Karnataka,5999,Misc Retail,Individual,Bangalore,2024-03-27 20:41:48,ACTIVE,False,2396.76,False
MCH7759,"SANKARAN, PATEL AND NARAIN",West Bengal,5699,Apparel,Sole Proprietor,Kolkata,2025-10-15 13:32:26,ACTIVE,False,,True
MCH5657,Natt-Goel,Delhi,5999,Misc Retail,Individual,Delhi,,ACTIVE,False,1355.0,False
MCH2432,Parmar-Parmer,West Bengal,4131,Transportation,Individual,Kolkata,,ACTIVE,False,2557.63,False
MCH1358,"CHAUDRY, BARAL AND MODI",Punjab,4131,Transportation,Individual,Ludhiana,2025-06-07 00:00:00,ACTIVE,False,2115.38,True
MCH7337,NATH-NARAYAN,Telangana,5699,Apparel,Individual,Hyderabad,2024-07-28 00:00:00,ACTIVE,False,3029.85,False
MCH9319,LadInc,Punjab,5699,Apparel,Sole Proprietor,Jalandhar,2025-07-20 00:00:00,ACTIVE,False,839.54,True
