txn_id,user_id,merchant_id,amount,amount_was_negative,txn_timestamp,utr_clean,utr_missing_or_invalid,mcc_clean,status_clean,has_kyc_match,has_merchant_match,merchant_category_clean,merchant_status_clean,kyc_status_clean,risk_segment_clean,merchant_category_final
TXN00011869,USR45826,MCH7045,15722.34,False,2026-01-15 00:11:30,UTR6498104698,False,5411,SUCCESS,False,False,,,,,Grocery
TXN00010383,USR79397,MCH5031,6362.9,False,2026-01-17 20:09:44,UTR7656190355,False,4131,FAILED,True,False,,,REJECTED,LOW,Transportation
TXN00008297,USR87810,MCH9809,15446.19,False,2026-01-23 14:10:16,UTR9037001889,False,5411,SUCCESS,False,False,,,,,Grocery
TXN00006448,USR54287,MCH6928,12110.49,False,2026-02-02 20:17:51,UTR5257823698,False,5411,SUCCESS,False,True,Medical / Pharmacy,ACTIVE,,,Medical / Pharmacy
TXN00018792,USR53865,MCH8121,19432.94,False,2026-03-31 14:02:37,UTR4204272894,False,4131,SUCCESS,False,False,,,,,Transportation
TXN00000400,USR90546,MCH6773,18866.03,False,2026-02-11 01:40:43,UTR2080442730,False,5812,SUCCESS,True,True,Misc Retail,ACTIVE,REJECTED,LOW,Misc Retail
TXN00015249,USR18691,MCH7856,19982.69,False,2026-03-10 21:27:31,UTR5471158093,False,,SUCCESS,True,True,Hotel / Lodging,ACTIVE,VERIFIED,LOW,Hotel / Lodging
TXN00007121,USR16629,MCH7753,22687.5,False,2026-02-25 00:53:02,UTR3330570580,False,5411,SUCCESS,False,False,,,,,Grocery
TXN00008460,USR20899,MCH9111,8256.07,False,2026-02-07 09:53:11,UTR6505850115,False,,SUCCESS,True,True,Misc Retail,ACTIVE,VERIFIED,LOW,Misc Retail
TXN00002541,USR51755,MCH2949,16466.93,False,2026-03-30 09:37:49,UTR2787678319,False,5411,FAILED,False,True,Misc Retail,ACTIVE,,,Misc Retail
TXN00003797,USR81003,MCH5292,13312.0,False,2026-03-14 12:21:17,UTR2464640119,False,,SUCCESS,False,True,Misc Retail,INACTIVE,,,Misc Retail
TXN00000092,USR70687,MCH4523,17833.99,False,2026-01-27 23:43:31,UTR5315091377,False,5411,SUCCESS,True,False,,,VERIFIED,MEDIUM,Grocery
TXN00004622,USR37834,MCH5213,19118.63,False,2026-03-11 01:40:12,UTR1692756805,False,5812,SUCCESS,False,True,Hotel / Lodging,ACTIVE,,,Hotel / Lodging
TXN00001542,USR78386,MCH4890,2680.85,False,2026-02-21 01:33:17,UTR3430344329,False,5912,SUCCESS,False,False,,,,,Medical / Pharmacy
TXN00002592,USR21114,MCH9819,20100.92,False,2026-02-21 05:47:48,UTR3572682179,False,,PENDING,False,False,,,,,
TXN00017665,USR96222,MCH6009,16257.95,False,2026-01-21 15:06:13,UTR4021669116,False,5411,PENDING,False,True,,ACTIVE,,,Grocery
TXN00002012,USR13976,MCH8222,1575.7,False,2026-03-06 13:48:49,UTR0496925866,False,5411,SUCCESS,False,False,,,,,Grocery
TXN00015655,USR55935,MCH8480,18230.29,False,2026-01-09 05:05:51,UTR6094940155,False,,SUCCESS,False,True,Transportation,ACTIVE,,,Transportation
TXN00011091,USR13890,MCH8216,23820.57,True,2026-03-03 19:17:39,UTR6527062794,False,4131,SUCCESS,False,False,,,,,Transportation
TXN00008584,USR15778,MCH3250,5546.0,False,2026-01-17 18:53:31,UTR0928079796,False,5912,SUCCESS,False,True,Department Store,INACTIVE,,,Department Store
TXN00004474,USR15834,MCH3895,8892.43,False,2026-01-17 19:39:58,UTR4987418462,False,5812,SUCCESS,False,True,,INACTIVE,,,Restaurant
TXN00013857,USR33189,MCH4645,1816.08,False,2026-01-24 07:35:23,UTR8739611115,False,5912,SUCCESS,False,False,,,,,Medical / Pharmacy
TXN00012705,USR48168,MCH4207,3530.72,False,2026-01-23 18:56:04,UTR0498515755,False,5411,SUCCESS,True,False,,,PENDING,MEDIUM,Grocery
TXN00008884,USR99474,MCH1206,7998.11,False,2026-02-01 23:17:20,UTR6778164754,False,5411,SUCCESS,False,False,,,,,Grocery
TXN00007528,USR86253,MCH1683,13694.93,False,2026-01-30 18:33:12,UTR6390761420,False,5411,SUCCESS,True,True,Restaurant,ACTIVE,VERIFIED,LOW,Restaurant
TXN00011321,USR85411,MCH6621,15076.69,False,2026-02-25 08:44:40,UTR9700714037,False,7011,SUCCESS,False,False,,,,,Hotel / Lodging
TXN00003742,USR92327,MCH8759,20437.02,False,2026-03-20 05:35:40,UTR3393354693,False,5812,SUCCESS,True,False,,,VERIFIED,MEDIUM,Restaurant
TXN00008492,USR54536,MCH8074,3384.6,False,2026-02-02 18:27:43,UTR3320495895,False,,SUCCESS,False,True,Telecom,ACTIVE,,,Telecom
TXN00016765,USR93890,MCH5711,20091.0,False,2026-03-26 12:18:46,UTR9203187638,False,,FAILED,False,False,,,,,
TXN00017694,USR40732,MCH9490,9002.0,False,2026-01-13 15:03:46,UTR2443914333,False,5411,FAILED,True,False,,,VERIFIED,UNKNOWN,Grocery
TXN00006528,USR29622,MCH4964,20882.75,False,2026-03-28 10:06:31,UTR4641185560,False,,FAILED,True,True,Department Store,SUSPENDED,VERIFIED,LOW,Department Store
TXN00013401,USR31880,MCH1798,24701.82,False,2026-03-04 18:19:19,UTR8784371040,False,5912,SUCCESS,False,False,,,,,Medical / Pharmacy
TXN00004494,USR95466,MCH5376,19908.13,False,2026-02-24 12:34:51,UTR0075153514,False,7011,SUCCESS,False,True,Telecom,ACTIVE,,,Telecom
TXN00011094,USR75900,MCH1058,8314.42,False,2026-03-05 11:29:40,UTR9917244266,False,,SUCCESS,True,True,Department Store,ACTIVE,REJECTED,UNKNOWN,Department Store
TXN00017273,USR76790,MCH6075,13085.0,False,2026-01-14 18:30:01,UTR0709799346,False,4131,FAILED,True,True,Telecom,ACTIVE,VERIFIED,LOW,Telecom
TXN00009281,USR68024,MCH5104,10455.06,False,2026-02-21 00:15:01,UTR1967979496,False,5812,SUCCESS,False,False,,,,,Restaurant
TXN00006056,USR74396,MCH3197,12329.64,False,2026-01-18 14:04:37,UTR9066186368,False,4131,SUCCESS,True,False,,,VERIFIED,LOW,Transportation
TXN00010147,USR91777,MCH4915,19600.29,False,2026-01-16 17:24:29,UTR0387036525,False,4131,SUCCESS,True,False,,,VERIFIED,LOW,Transportation
TXN00008021,USR87162,MCH8216,12452.0,False,2026-02-13 00:38:19,UTR6064791461,False,5912,SUCCESS,False,False,,,,,Medical / Pharmacy
TXN00015299,USR81720,MCH9260,15641.17,False,2026-03-12 03:39:52,UTR8680623402,False,5812,SUCCESS,False,False,,,,,Restaurant
TXN00012856,USR76098,MCH6109,5205.0,False,2026-03-16 23:45:31,UTR9338335376,False,5912,FAILED,False,True,Telecom,ACTIVE,,,Telecom
TXN00002230,USR41686,MCH3071,7504.98,False,2026-02-27 04:10:10,UTR9557966907,False,5812,SUCCESS,True,True,Restaurant,ACTIVE,VERIFIED,UNKNOWN,Restaurant
TXN00008304,USR95674,MCH5401,5379.22,False,2026-03-20 05:00:36,UTR8910180483,False,,SUCCESS,True,True,Department Store,ACTIVE,PENDING,MEDIUM,Department Store
TXN00002751,USR62352,MCH6961,9710.26,False,2026-01-08 18:34:26,UTR2411349944,False,4131,SUCCESS,True,False,,,PENDING,LOW,Transportation
TXN00016154,USR24396,MCH4549,7444.86,False,2026-01-12 06:43:49,UTR9010745901,False,7011,SUCCESS,True,False,,,VERIFIED,HIGH,Hotel / Lodging
TXN00002002,USR30273,MCH3715,6182.0,False,2026-02-02 21:46:04,UTR4088897098,False,5411,SUCCESS,False,True,Book Store,SUSPENDED,,,Book Store
TXN00017871,USR84134,MCH7932,1129.96,False,2026-03-23 02:31:39,UTR2897803833,False,5411,FAILED,False,True,Telecom,ACTIVE,,,Telecom
TXN00009906,USR91737,MCH9669,9793.08,False,2026-02-19 18:35:29,UTR7243374821,False,7011,SUCCESS,False,False,,,,,Hotel / Lodging
TXN00012105,USR62385,MCH7681,7551.46,False,2026-02-11 21:01:18,UTR8310520572,False,4131,SUCCESS,False,True,Department Store,ACTIVE,,,Department Store
TXN00003363,USR87291,MCH4490,17312.05,False,2026-03-30 03:38:47,UTR6688677473,False,5912,SUCCESS,False,True,Grocery,ACTIVE,,,Grocery
TXN00004301,USR98963,MCH8511,2024.58,False,2026-03-15 01:52:40,UTR0403071756,False,4131,PENDING,True,True,Transportation,ACTIVE,VERIFIED,LOW,Transportation
TXN00012813,USR20191,MCH8936,7452.0,False,2026-01-09 06:36:33,UTR9559448527,False,,SUCCESS,False,False,,,,,
TXN00009678,USR64256,MCH3235,1728.09,False,2026-03-06 07:59:54,,True,7011,SUCCESS,False,False,,,,,Hotel / Lodging
TXN00017971,USR62625,MCH9776,1198.21,False,2026-03-01 10:55:10,UTR7890902701,False,5812,SUCCESS,True,False,,,REJECTED,LOW,Restaurant
TXN00016152,USR20475,MCH5563,13950.77,False,2026-01-21 09:16:16,UTR8762321453,False,5411,SUCCESS,False,True,,ACTIVE,,,Grocery
TXN00011334,USR32767,MCH8033,18247.02,False,2026-03-29 13:01:14,UTR4892994283,False,5812,SUCCESS,True,True,Book Store,ACTIVE,VERIFIED,HIGH,Book Store
TXN00012493,USR18021,MCH3684,8404.49,False,2026-03-20 10:23:23,UTR0110455957,False,5812,SUCCESS,True,True,,ACTIVE,VERIFIED,LOW,Restaurant
